Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,5.682448664594913,0.01187451999763691,5.001739766224321,0.03314285714285714
2,4.634419223176058,0.07091628758787735,3.679882514907653,0.1820952380952381
3,3.6067874431610107,0.20233945767117623,2.6355485715061784,0.3740952380952381
4,2.8723619457003298,0.334648785963254,1.9113589539585343,0.5371428571428571
5,2.347268505988815,0.44240562415076506,1.572663010602974,0.6194285714285714
6,1.9656992914095268,0.5236722396171797,1.2090497986379876,0.6841904761904762
7,1.6793567803045752,0.5854315590476753,1.0178604011076042,0.7337142857142858
8,1.4679600243983062,0.6328114846103857,0.9054579659398779,0.7699047619047619
9,1.3012958685369258,0.6686831689017546,0.8211444752762117,0.8011428571428572
10,1.1811155544900263,0.6957996100903882,0.7396961781813438,0.8163809523809524
11,1.072624613584102,0.7195722809712294,0.7128749283322369,0.8133333333333334
12,0.985057792005557,0.7402965676138713,0.615236856940999,0.836952380952381
13,0.9146225555210122,0.7554912270337331,0.5866786298981632,0.851047619047619
14,0.855813142831925,0.770012406214923,0.5409983538360481,0.8575238095238096
15,0.8049701505972667,0.7819341879836947,0.5431959843599653,0.8556190476190476
16,0.7489269134537484,0.7936905535534944,0.4906344413757324,0.8704761904761905
17,0.7053319162479645,0.8053996573521592,0.5005885078291218,0.8758095238095238
18,0.6683493850671727,0.8150646895492408,0.4921415934271841,0.8784761904761905
19,0.6402494613975568,0.8206179476575884,0.4766965146255062,0.8830476190476191
20,0.611382254642665,0.8279435221834939,0.4554877301610737,0.8830476190476191
21,0.5917381060596675,0.8316535712175814,0.5078935079635626,0.8746666666666667
22,0.555987242762781,0.8418739292254978,0.45490738339946574,0.8853333333333333
23,0.5386575719556421,0.8445560347374018,0.4323363461004323,0.8906666666666667
24,0.5118598579966053,0.8503101553730726,0.4000582315521427,0.9005714285714286
25,0.49954592222471095,0.8538902345365392,0.4398892783975027,0.8956190476190476
26,0.47471303001102516,0.8607195604655284,0.5014745472279568,0.886095238095238
27,0.46283234494592157,0.8639097300171323,0.40312488069645613,0.8986666666666666
28,0.3304255629903751,0.9009038813729544,0.35013651681772195,0.9173333333333333
29,0.29718523466561714,0.9085839191823714,0.3378095368417092,0.916952380952381
30,0.2866911231739084,0.9122230755597566,0.33676465232688263,0.9173333333333333
31,0.26988208170783035,0.9167483901459207,0.37505608888803027,0.9085714285714286
32,0.26258689412188724,0.9192768949016364,0.36499036750924513,0.9127619047619048
33,0.2565688753240022,0.9195840964140131,0.37156431375811977,0.9112380952380953
34,0.20028611570834368,0.9368346428782418,0.3282559443074447,0.9245714285714286
35,0.1783381750730583,0.9422697465587523,0.32197829781391896,0.9226666666666666
36,0.1753198321119113,0.9441484019613635,0.33451693406586636,0.9211428571428572
37,0.16876266465675516,0.944798251314468,0.3276526892013534,0.9234285714285714
38,0.16411878039315694,0.9468777692444025,0.33200452117816015,0.9291428571428572
39,0.13649361495391618,0.9557747976605423,0.325901881370873,0.9283809523809524
40,0.1299550065312126,0.9572162816801559,0.3427079199218606,0.928
